

*******************************************************************************
Ephemeris / WWW_USER Thu Dec 21 04:08:52 2023 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: Earth (399)                     {source: DE441}
Center body name: Sun (10)                        {source: DE441}
Center-site name: (user defined site below)
*******************************************************************************
Start time      : A.D. 2022-Dec-01 00:00:00.0000 TDB
Stop  time      : A.D. 2023-Dec-01 00:00:00.0000 TDB
Step-size       : 1440 minutes
*******************************************************************************
Center geodetic : 0.0, 0.0, 0.0                   {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.0, 6.96E5, 0.0                {E-lon(deg),Dxy(km),Dz(km)}
Center pole/equ : IAU_SUN                         {East-longitude positive}
Center radii    : 696000.0, 696000.0, 696000.0 km {Equator_a, b, pole_c}
Output units    : KM-S
Calendar mode   : Gregorian
Output type     : GEOMETRIC cartesian states
Output format   : 2 (position and velocity)
Reference frame : Ecliptic of J2000.0
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,
**************************************************************************************************************************************************************************************************
$$SOE
2459914.500000000, A.D. 2022-Dec-01 00:00:00.0000,  5.353642880346518E+07,  1.370316825417093E+08,  6.951182686998695E+04, -2.767834287119289E+01,  8.897712030651105E+00, -1.245801862080995E-01,
2459915.500000000, A.D. 2022-Dec-02 00:00:00.0000,  5.115679195161566E+07,  1.377864841127142E+08,  5.651502442934364E+04, -2.741200875635833E+01,  8.592876857542842E+00, -1.747371221828216E-01,
2459916.500000000, A.D. 2022-Dec-03 00:00:00.0000,  4.879818074487712E+07,  1.385195063298365E+08,  3.962409683549404E+04, -2.719600284030945E+01,  8.391110972052196E+00, -2.142615203331113E-01,
2459917.500000000, A.D. 2022-Dec-04 00:00:00.0000,  4.645517452988688E+07,  1.392389298751705E+08,  1.986695347570628E+04, -2.705441423105871E+01,  8.274642900891910E+00, -2.407459571108088E-01,
2459918.500000000, A.D. 2022-Dec-05 00:00:00.0000,  4.412048125045057E+07,  1.399511580581125E+08, -1.553955425053835E+03, -2.700625213900848E+01,  8.220313813726905E+00, -2.525781131266260E-01,
2459919.500000000, A.D. 2022-Dec-06 00:00:00.0000,  4.178542886133838E+07,  1.406604108160200E+08, -2.333493387444317E+04, -2.706428850515764E+01,  8.201001764392691E+00, -2.490385650531479E-01,
2459920.500000000, A.D. 2022-Dec-07 00:00:00.0000,  3.944054074867256E+07,  1.413684528084899E+08, -4.415047088903934E+04, -2.723428064174735E+01,  8.187285759581224E+00, -2.303442917806033E-01,
2459921.500000000, A.D. 2022-Dec-08 00:00:00.0000,  3.707616010665727E+07,  1.420744720640687E+08, -6.273397550710291E+04, -2.751462116038750E+01,  8.149248982206965E+00, -1.976351964264786E-01,
2459922.500000000, A.D. 2022-Dec-09 00:00:00.0000,  3.468308522718742E+07,  1.427751165083048E+08, -7.795490117449313E+04, -2.789643676775628E+01,  8.058311561137739E+00, -1.529044283395726E-01,
2459923.500000000, A.D. 2022-Dec-10 00:00:00.0000,  3.225317697314622E+07,  1.434646860854714E+08, -8.888756284126639E+04, -2.836413008331671E+01,  7.888981055592815E+00, -9.887674776955535E-02,
