

*******************************************************************************
Ephemeris / WWW_USER Thu Dec 21 08:34:13 2023 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: Jupiter (599)                   {source: jup365_merged}
Center body name: Solar System Barycenter (0)     {source: DE441}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2022-Dec-01 00:00:00.0000 TDB
Stop  time      : A.D. 2023-Dec-01 00:00:00.0000 TDB
Step-size       : 1440 minutes
*******************************************************************************
Center geodetic : 0.0, 0.0, 0.0                   {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.0, 0.0, 0.0                   {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : (undefined)
Output units    : KM-S
Calendar mode   : Gregorian
Output type     : GEOMETRIC cartesian states
Output format   : 2 (position and velocity)
Reference frame : Ecliptic of J2000.0
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,
**************************************************************************************************************************************************************************************************
$$SOE
2459914.500000000, A.D. 2022-Dec-01 00:00:00.0000,  7.293846083091676E+08,  1.203650638165592E+08, -1.681763113456347E+07, -2.277110471843711E+00,  1.350464202750165E+01, -5.079900935775150E-03,
2459915.500000000, A.D. 2022-Dec-02 00:00:00.0000,  7.291869997648693E+08,  1.215317491054779E+08, -1.681804812409879E+07, -2.298171357502946E+00,  1.350228682002664E+01, -4.576270638088964E-03,
2459916.500000000, A.D. 2022-Dec-03 00:00:00.0000,  7.289874717081589E+08,  1.226980842123523E+08, -1.681842813774835E+07, -2.319077259001173E+00,  1.349609410176792E+01, -4.201387169858073E-03,
2459917.500000000, A.D. 2022-Dec-04 00:00:00.0000,  7.287862698816487E+08,  1.238640510115427E+08, -1.681876772934382E+07, -2.339531922889663E+00,  1.349364477507025E+01, -3.686118859435261E-03,
2459918.500000000, A.D. 2022-Dec-05 00:00:00.0000,  7.285832666998533E+08,  1.250296597778983E+08, -1.681906873185531E+07, -2.358727088801115E+00,  1.348881196094125E+01, -3.241195986142031E-03,
2459919.500000000, A.D. 2022-Dec-06 00:00:00.0000,  7.283785656464016E+08,  1.261950045584226E+08, -1.681932639367598E+07, -2.380128410882680E+00,  1.348569374003408E+01, -2.765603680411566E-03,
2459920.500000000, A.D. 2022-Dec-07 00:00:00.0000,  7.281721434599838E+08,  1.273599757284689E+08, -1.681954431342932E+07, -2.398189575716439E+00,  1.348266494151667E+01, -2.227739358113823E-03,
2459921.500000000, A.D. 2022-Dec-08 00:00:00.0000,  7.279639703653861E+08,  1.285248022505078E+08, -1.681971450709867E+07, -2.420448491504406E+00,  1.347973150345149E+01, -1.752029587285264E-03,
2459922.500000000, A.D. 2022-Dec-09 00:00:00.0000,  7.277539914085634E+08,  1.296893248681697E+08, -1.681984384093237E+07, -2.441051172156530E+00,  1.347740251072259E+01, -1.234135598114250E-03,
2459923.500000000, A.D. 2022-Dec-10 00:00:00.0000,  7.275420980347772E+08,  1.308535357631761E+08, -1.681993423480936E+07, -2.462530625875480E+00,  1.347144425804094E+01, -8.535932518691780E-04,
