

*******************************************************************************
Ephemeris / WWW_USER Thu Dec 21 08:33:18 2023 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: Mercury (199)                   {source: DE441}
Center body name: Solar System Barycenter (0)     {source: DE441}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2022-Dec-01 00:00:00.0000 TDB
Stop  time      : A.D. 2023-Dec-01 00:00:00.0000 TDB
Step-size       : 1440 minutes
*******************************************************************************
Center geodetic : 0.0, 0.0, 0.0                   {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.0, 0.0, 0.0                   {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : (undefined)
Output units    : KM-S
Calendar mode   : Gregorian
Output type     : GEOMETRIC cartesian states
Output format   : 2 (position and velocity)
Reference frame : Ecliptic of J2000.0
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,
**************************************************************************************************************************************************************************************************
$$SOE
2459914.500000000, A.D. 2022-Dec-01 00:00:00.0000,  2.017312751601063E+07, -6.325786095360070E+07, -7.117767815284476E+06,  3.635826885740229E+01,  1.813588697095043E+01, -1.851436555411173E+00,
2459915.500000000, A.D. 2022-Dec-02 00:00:00.0000,  2.327746875406525E+07, -6.158800357985371E+07, -7.265926449852306E+06,  3.547867240453248E+01,  2.051600526179491E+01, -1.576250168458242E+00,
2459916.500000000, A.D. 2022-Dec-03 00:00:00.0000,  2.629983981261036E+07, -5.971315311512917E+07, -7.389814153671462E+06,  3.446009778390020E+01,  2.288020443752095E+01, -1.289617008634879E+00,
2459917.500000000, A.D. 2022-Dec-04 00:00:00.0000,  2.922804407033274E+07, -5.763492583466819E+07, -7.488444281313527E+06,  3.329812620868788E+01,  2.522279686943382E+01, -9.915965536274527E-01,
2459918.500000000, A.D. 2022-Dec-05 00:00:00.0000,  3.204949163761751E+07, -5.535545991127388E+07, -7.560836764052913E+06,  3.198807825619099E+01,  2.753737228052557E+01, -6.822834280409555E-01,
2459919.500000000, A.D. 2022-Dec-06 00:00:00.0000,  3.475117836720072E+07, -5.287748238970569E+07, -7.606021657686461E+06,  3.052505141130911E+01,  2.981669100466615E+01, -3.618195702244318E-01,
2459920.500000000, A.D. 2022-Dec-07 00:00:00.0000,  3.731966870949531E+07, -5.020438583115825E+07, -7.623043833268035E+06,  2.890397208876959E+01,  3.205256682536225E+01, -3.040857866865565E-02,
2459921.500000000, A.D. 2022-Dec-08 00:00:00.0000,  3.974108382101131E+07, -4.734031553745983E+07, -7.610969014276836E+06,  2.711966589868340E+01,  3.423573924934654E+01,  3.116674048861565E-01,
2459922.500000000, A.D. 2022-Dec-09 00:00:00.0000,  4.200109669195463E+07, -4.429026825592776E+07, -7.568891395834383E+06,  2.516695068559984E+01,  3.635573559631871E+01,  6.640278912610142E-01,
2459923.500000000, A.D. 2022-Dec-10 00:00:00.0000,  4.408493648672055E+07, -4.106020320154157E+07, -7.495943115557244E+06,  2.304075772244352E+01,  3.840072405863810E+01,  1.026170919243706E+00,
