

*******************************************************************************
Ephemeris / WWW_USER Thu Dec 21 04:03:39 2023 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: Sun (10)                        {source: DE441}
Center body name: Sun (10)                        {source: DE441}
Center-site name: (user defined site below)
*******************************************************************************
Start time      : A.D. 2022-Dec-01 00:00:00.0000 TDB
Stop  time      : A.D. 2023-Dec-01 00:00:00.0000 TDB
Step-size       : 1440 minutes
*******************************************************************************
Center geodetic : 0.0, 0.0, 0.0                   {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.0, 6.96E5, 0.0                {E-lon(deg),Dxy(km),Dz(km)}
Center pole/equ : IAU_SUN                         {East-longitude positive}
Center radii    : 696000.0, 696000.0, 696000.0 km {Equator_a, b, pole_c}
Output units    : KM-S
Calendar mode   : Gregorian
Output type     : GEOMETRIC cartesian states
Output format   : 2 (position and velocity)
Reference frame : Ecliptic of J2000.0
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,
**************************************************************************************************************************************************************************************************
$$SOE
2459914.500000000, A.D. 2022-Dec-01 00:00:00.0000, -6.670237959252003E+05, -1.834068207943111E+05,  7.653230530736812E+04,  5.145111337607103E-01, -1.922786242528400E+00, -1.236202448669034E-01,
2459915.500000000, A.D. 2022-Dec-02 00:00:00.0000, -6.026865741192012E+05, -3.422521022724341E+05,  6.362697436276438E+04,  9.671623177060632E-01, -1.735389069526434E+00, -1.735869659242377E-01,
2459916.500000000, A.D. 2022-Dec-03 00:00:00.0000, -5.016000612941183E+05, -4.802282908448717E+05,  4.684193828131029E+04,  1.360840013602482E+00, -1.442175174058786E+00, -2.129690843011613E-01,
2459917.500000000, A.D. 2022-Dec-04 00:00:00.0000, -3.699280876022035E+05, -5.889221791741899E+05,  2.720067792720901E+04,  1.671539412258119E+00, -1.061023505546434E+00, -2.393652441498250E-01,
2459918.500000000, A.D. 2022-Dec-05 00:00:00.0000, -2.156994558873447E+05, -6.617060713638152E+05,  5.900834701033193E+03,  1.880315371851394E+00, -6.151750887443119E-01, -2.511659187249501E-01,
2459919.500000000, A.D. 2022-Dec-06 00:00:00.0000, -4.831837907505405E+04, -6.941419119626415E+05, -1.575881659287776E+04,  1.974437612952914E+00, -1.318158838563675E-01, -2.476515525514272E-01,
2459920.500000000, A.D. 2022-Dec-07 00:00:00.0000,  1.220089491562177E+05, -6.842518999098818E+05, -3.645756156838540E+04,  1.948166957392559E+00,  3.595808989116797E-01, -2.290364368890990E-01,
2459921.500000000, A.D. 2022-Dec-08 00:00:00.0000,  2.848966851151260E+05, -6.326390865206254E+05, -5.493327786288943E+04,  1.803105279192264E+00,  8.290519516793180E-01, -1.964556431535327E-01,
2459922.500000000, A.D. 2022-Dec-09 00:00:00.0000,  4.304126201392463E+05, -5.424506039544487E+05, -7.005939404764184E+04,  1.548097829029282E+00,  1.247970905311964E+00, -1.518958110377909E-01,
2459923.500000000, A.D. 2022-Dec-10 00:00:00.0000,  5.496838048818462E+05, -4.191857663403212E+05, -8.091358321254951E+04,  1.198693888073132E+00,  1.590793844943163E+00, -9.807401158427403E-02,
