

*******************************************************************************
Ephemeris / WWW_USER Thu Dec 21 08:34:30 2023 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: Uranus (799)                    {source: ura116}
Center body name: Solar System Barycenter (0)     {source: DE441}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2022-Dec-01 00:00:00.0000 TDB
Stop  time      : A.D. 2023-Dec-01 00:00:00.0000 TDB
Step-size       : 1440 minutes
*******************************************************************************
Center geodetic : 0.0, 0.0, 0.0                   {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.0, 0.0, 0.0                   {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : (undefined)
Output units    : KM-S
Calendar mode   : Gregorian
Output type     : GEOMETRIC cartesian states
Output format   : 2 (position and velocity)
Reference frame : Ecliptic of J2000.0
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,
**************************************************************************************************************************************************************************************************
$$SOE
2459914.500000000, A.D. 2022-Dec-01 00:00:00.0000,  2.012209627046246E+09,  2.146688300026674E+09, -1.809568005880642E+07, -5.018655776633786E+00,  4.340055066982611E+00,  8.113587025988078E-02,
2459915.500000000, A.D. 2022-Dec-02 00:00:00.0000,  2.011775984007010E+09,  2.147063238638785E+09, -1.808865979205060E+07, -5.019345327046357E+00,  4.339058610978427E+00,  8.127611275362456E-02,
2459916.500000000, A.D. 2022-Dec-03 00:00:00.0000,  2.011342275071842E+09,  2.147438090228019E+09, -1.808164385307610E+07, -5.020262171947904E+00,  4.338077022134111E+00,  8.116307743453643E-02,
2459917.500000000, A.D. 2022-Dec-04 00:00:00.0000,  2.010908484348426E+09,  2.147812858844360E+09, -1.807462796765745E+07, -5.021144417157508E+00,  4.337113579035170E+00,  8.124537019109557E-02,
2459918.500000000, A.D. 2022-Dec-05 00:00:00.0000,  2.010474623388833E+09,  2.148187541947593E+09, -1.806761224591768E+07, -5.021988210456715E+00,  4.336113363287171E+00,  8.112384595905819E-02,
2459919.500000000, A.D. 2022-Dec-06 00:00:00.0000,  2.010040679615515E+09,  2.148562141437593E+09, -1.806060256948626E+07, -5.022959796168096E+00,  4.335166618260312E+00,  8.118048474145945E-02,
2459920.500000000, A.D. 2022-Dec-07 00:00:00.0000,  2.009606663771946E+09,  2.148936656229826E+09, -1.805358968391991E+07, -5.023714306722163E+00,  4.334150266489854E+00,  8.108121765015386E-02,
2459921.500000000, A.D. 2022-Dec-08 00:00:00.0000,  2.009172568471816E+09,  2.149311084704557E+09, -1.804659716336989E+07, -5.024874696052926E+00,  4.333203362564541E+00,  8.084782221318254E-02,
2459922.500000000, A.D. 2022-Dec-09 00:00:00.0000,  2.008738368438315E+09,  2.149685435506414E+09, -1.803960241331339E+07, -5.025963661780994E+00,  4.332307992883902E+00,  8.109321402046898E-02,
2459923.500000000, A.D. 2022-Dec-10 00:00:00.0000,  2.008304088657146E+09,  2.150059705195531E+09, -1.803259064222670E+07, -5.026826572358400E+00,  4.331341926675479E+00,  8.118293603140270E-02,
